correct	correct_response	count_exp_sequence	leksikalnost	rec	response	response_time	trial_number	naziv_fajla	exp_title	accuracy
1	3	208	pseudorec	NETERNOJ	3	698	194	subject-3.csv	PRIDEVI_C	96.1722488038
1	3	209	pseudorec	FELENOM	3	532	172	subject-3.csv	PRIDEVI_C	96.1904761905
0	3	210	pseudorec	VOLENOJ	1	517	205	subject-3.csv	PRIDEVI_C	95.7345971564
1	1	211	rec	STAKLENOG	1	575	84	subject-3.csv	PRIDEVI_C	95.7547169811
1	3	212	pseudorec	BLETANOJ	3	574	212	subject-3.csv	PRIDEVI_C	95.7746478873
1	3	213	pseudorec	SILKIMOG	3	488	133	subject-3.csv	PRIDEVI_C	95.7943925234
1	3	214	pseudorec	FLAKOJ	3	488	192	subject-3.csv	PRIDEVI_C	95.8139534884
1	1	215	rec	OGROMNOG	1	607	57	subject-3.csv	PRIDEVI_C	95.8333333333
1	1	216	rec	VRELOM	1	554	100	subject-3.csv	PRIDEVI_C	95.8525345622
1	1	217	rec	NOĆNOG	1	511	54	subject-3.csv	PRIDEVI_C	95.871559633
1	3	218	pseudorec	MORIVOM	3	746	148	subject-3.csv	PRIDEVI_C	95.8904109589
1	1	219	rec	KONAČNOJ	1	576	26	subject-3.csv	PRIDEVI_C	95.9090909091
1	1	220	rec	BURNOG	1	728	6	subject-3.csv	PRIDEVI_C	95.92760181
1	3	221	pseudorec	BLANOJ	3	498	202	subject-3.csv	PRIDEVI_C	95.9459459459
1	3	222	pseudorec	TENOKOG	3	696	140	subject-3.csv	PRIDEVI_C	95.9641255605
1	1	223	rec	LAKOM	1	1000	31	subject-3.csv	PRIDEVI_C	95.9821428571
1	1	224	rec	MALENOJ	1	570	35	subject-3.csv	PRIDEVI_C	96
1	1	225	rec	MIRISNOJ	1	682	38	subject-3.csv	PRIDEVI_C	96.017699115
1	3	226	pseudorec	SUČENOM	3	464	169	subject-3.csv	PRIDEVI_C	96.0352422907
1	3	227	pseudorec	ZORAVOG	3	612	119	subject-3.csv	PRIDEVI_C	96.0526315789
